id,state,abbr,x_f_bachelors,y_birth_rate
1,Alabama,AL,7.060522968,4.986502935
2,Alaska,AK,11.15039878,5.528937691
4,Arizona,AZ,7.813932172,5.122277626
5,Arkansas,AR,7.007151334,5.599155983
6,California,CA,10.17635844,4.891129811
8,Colorado,CO,12.140994,5.112486078
9,Connecticut,CT,10.31265797,4.060796964
10,Delaware,DE,7.971448002,4.490904353
11,District of Columbia,DC,16.55882551,4.533471356
12,Florida,FL,7.845924378,4.727727431
13,Georgia,GA,9.234805252,5.552531576
15,Hawaii,HI,9.981844389,6.687727614
16,Idaho,ID,8.692511285,6.05948266
17,Illinois,IL,10.98825933,4.961674366
18,Indiana,IN,8.716861482,5.65229355
19,Iowa,IA,9.823492476,5.901853754
20,Kansas,KS,9.878985265,5.415071712
21,Kentucky,KY,7.338520054,5.311826374
22,Louisiana,LA,7.734215891,5.542947928
23,Maine,ME,8.729604903,4.487841387
24,Maryland,MD,10.40481387,5.093611103
25,Massachusetts,MA,11.92965145,4.453897273
26,Michigan,MI,8.066234745,5.284064125
27,Minnesota,MN,11.63986742,5.478028398
28,Mississippi,MS,6.840617215,5.259701802
29,Missouri,MO,8.927488687,5.391918365
30,Montana,MT,9.074120461,4.76350594
31,Nebraska,NE,11.28432429,6.235516682
32,Nevada,NV,7.083667963,4.90373908
33,New Hampshire,NH,9.85770122,4.921437814
34,New Jersey,NJ,11.6059289,4.617470692
35,New Mexico,NM,6.574340285,5.093257887
36,New York,NY,10.99077139,4.684097713
37,North Carolina,NC,9.507394494,4.923747062
38,North Dakota,ND,12.41694586,6.83646664
39,Ohio,OH,8.389424702,5.477246652
40,Oklahoma,OK,8.190988043,5.93513597
41,Oregon,OR,9.431280111,4.403413544
42,Pennsylvania,PA,9.415749907,5.003329954
44,Rhode Island,RI,9.688940664,4.475398716
45,South Carolina,SC,8.073786947,5.178850499
46,South Dakota,SD,10.31703533,6.996006111
47,Tennessee,TN,8.51470415,4.984166349
48,Texas,TX,9.711646621,5.854859813
49,Utah,UT,12.07422263,6.993956427
50,Vermont,VT,10.04646209,4.107668079
51,Virginia,VA,10.58942205,4.950196674
53,Washington,WA,10.63239456,5.238732802
54,West Virginia,WV,6.26143689,5.392339625
55,Wisconsin,WI,9.894319637,5.39502733
56,Wyoming,WY,8.253891251,5.735229029
72,Puerto Rico,PR,9.956804991,3.4917774
